rt_seq_hash	family	n_genomes	n_species	n_genera	n_source_databases	n_physical_loci	unit	denominator
244aa73b91d0edddefffc6e9b671c93c1dc38cdf2bdaa4c165666668dc2db1f9	Retron	3918	4	1	3	3586	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
ae503befbcbd97dbfe153c95de37efc5de1eeba1f8221e23ee0c8a39455b6eac	RVT-GII	3786	1	1	2	3440	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
0349478862930abf37ef3c5f0ca4f195da843a0ef49343ce6eb4fb7c85d5dea4	RVT-GII	3703	7	2	2	3399	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
d6788c8cacaa7e9c1b9c43573b21624e0adf1b17aa5bb004676d896e49916d86	RVT-UG3	3595	1	1	3	4090	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
7bd634fbc5e3ea9dd996a541b6a1d2abc4d661b27fc8e735c95fdc6592957e59	RVT-GII	3591	9	6	4	3155	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
c7bcd327d6156fe50dec220ebd5d9db17c433746ad126b6c23fb8a1af60726d8	RVT-GII	3581	7	2	3	3549	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
cae47f2ea56d23b181ff8082210a8c211e4987d7ceca13f7d3fdb3076e0feb03	RVT-GII	3540	5	2	3	2911	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
a939e2509582e61da1e1f9df3bcc0704d767e1f1d5526d863b290f968e0b8d6a	RVT-GII	3497	5	2	3	3493	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
1f9754036b9fca9636f8b4116f25e18e9a2fda7d0a71ee177a7bd3ebe2b5ccfc	RVT-GII	3491	1	1	2	3354	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
fefaad5d3250c932c2049f25b6ffbd4ca7f2b1b15983adc1690967081b665b16	RVT-GII	3463	2	2	3	3154	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
29c2b116c8d4093bf39973809e46ed02be11cf16a44fa5dbc35962b45a9ed926	Retron	3411	6	3	2	3409	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
1047220be747a49f492bd88895493f5bcb530d85cb88b9b987ccd915f251f2a8	other	3355	7	2	3	3218	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
13c58226c9ddaeb54ef404c57893843e80f6ae7248f5b5daeef24597d08c0815	RVT-UG2	3355	10	6	3	2821	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
0e04234530e04c28964d50c463075ab4d659f0e27e5a70e6fdd0088d67865b29	Retron	3355	2	1	4	3057	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
2e32b9ca3c12d61d7071d630ffec503897e27515cdf013c6fe9f1383c752e498	Retron	3277	2	1	2	3123	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
15a0f84b23cb38aa0b82c99f24c3640d53a824e6cad99e985b078e4ed09352d8	RVT-GII	3269	20	9	3	2766	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
b5c4f0f0a05b4bdc6604ef2d1e65965f6ffdcdfbdfba1353ec744a6a65836363	Retron	3225	10	5	6	3252	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
7a24f52a98cfc4feeb058828104869f54e621ba626c2c99ebf25fc28db5d25b8	RVT-GII	3201	9	6	4	2494	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
704c8d795ee173b8585d28f5958c3cb23cce3b0083fedb27fbc2be7e936bfd2d	Retron	3097	1	1	4	3069	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
ba37dd88b394d8878d36ba9a17be7cd5a541f9b31de9cba3f2c05209f217a550	RVT-GII	3073	16	10	4	2917	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
9fd80132cda9502540accd8fd967b1590cc0e07c5b5fe8a3a8f114f91dbc19f7	Retron	3049	2	1	2	3011	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
eeafc0a3a1f3bcd076fd0afc734b30a794d5e1596af3ed5289ead52a5a2c5d93	RVT-UG17	3015	2	1	3	2752	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
1cb40e1515da9e720f337e8eca4db34d34d4338a478b6c54ec87799cb7b96798	RVT-GII	2980	6	4	4	2542	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
1913e053ef4c325307f8b4f355891b66f2155d8a8f0bfd95d6dd0a7fb4fdf491	RVT-GII	2966	5	3	5	2575	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
37d7f202abbc74d6b670eb27598d16f48aa82b216d268c6e0a3e204b53c89e3f	RVT-GII	2913	5	2	2	2882	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
c64aae9f90ccb9d1400c73996695cbb661e25b765cc77133d851b03c3411256e	Retron	2865	8	4	4	2617	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
3bbdd7809a73907ccfd1e7b8117957894113c75687a4882afd05010df0da4129	RVT-GII	2856	2	2	2	2841	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
ffcea73ca1e2bd1d4770bcd1ca6fec8fdfeb9cfc42d3670f830cda77e2ec5dde	RVT-GII	2852	1	1	2	2518	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
e9642e5531a30fcc21674f37a50fe552c379dae67302643e97d3cbe83b72e087	RVT-UG8	2818	1	1	3	3268	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
a2644b95a6abde7ae422f15aa967d6ec1223548abdb5f7d594459b32fb807592	RVT-GII	2785	4	2	3	2680	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
c2e8aae1d29e26efd0b093e4d2987b80dce7a850a37dddedcf5f796d783b0bd6	Retron	2763	2	1	2	3153	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
29cb952ff16a6bb2d2746788cab19cc5fdf9dfeea29c4a93786fda28d1a13112	RVT-GII	2751	6	2	3	2578	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
f56af02f8ef201a2822d6796f51ebcffb0738b855fb0fc3e0a4efbcfabff4b13	RVT-GII	2742	1	1	2	2669	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
eb05335311a72b9cbd10c9fb3e7dc0ba943eb57faaa6a059938fc3da68b3e43a	RVT-UG17	2701	2	1	4	2269	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
abc506786634ba00df86b4d6c5e82004367ccae33d87b79d9c5b3fe233cf035a	Retron	2697	7	4	3	2607	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
64ea938f8c648e20d89e0001fc8ee79ac8cf5b6300da898bd23f6a862b3838ff	Retron	2694	1	1	3	2661	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
6e539cb68c5560890e40d06b5d22ffbb8dd98ec47b567870cfb3c765fb8a5bbc	RVT-GII	2655	6	2	3	2560	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
bfd8aac84f5e89c854b1b6271bd414adadcf8b732993b067804a97f4cba95f38	RVT-GII	2576	8	5	2	2572	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
39e3d62730c99281ae912bec1920f1fd20aea9310b42167c907bcbc205dc2ae5	RVT-UG3	2571	2	1	2	2488	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
2c4a5492c76a36670b88907e76495d708552a97b72d9c2d08b719796049161b0	RVT-GII	2560	29	23	4	2298	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
f896a9e1fb51ee6a6f9c64a3c9eb1fcc705b94252bba2fa9a2c8a75a6a0750ea	RVT-GII	2546	11	6	4	2218	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
1b5479424d63dd1db2764c3744bafb587adeb9d435aeb6c77ad95d826d6d83be	RVT-GII	2491	17	8	2	2329	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
466ac810447dd224f8b8bad5d3ab000f0fdceccfce29b96b3aaad08b5eddbff4	RVT-GII	2467	1	1	2	2227	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
b6e68ce9a72bc30153b3e5c51858a4002b3617bac3d6df654f18e0f167482dc2	RVT-GII	2423	5	2	3	2331	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
e07bedc77e22ba9bc3fe1b3d6f4f51dfd667625aef1487e980556aa086194514	RVT-UG17	2361	8	3	4	2169	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
a5accb8a926e1499c1c40224520a49616c7ff9cb9a2b1cded02011f654d95a2d	RVT-GII	2328	14	6	4	1849	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
549aee51069c50c93947d132b3bf734db7a27ae097a2f21d65d5480b2fbc8ad5	RVT-GII	2208	2	1	3	2120	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
1e0acc241330f8143eac33d9557215a1d252ec8a6c17950ded804663780dd3fa	RVT-AbiP2	2191	12	5	3	1603	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
e968e96467c935fb6409b8b9b92a8daea2a145cc3e378b9fbddf58db00ed695a	RVT-UG17	2170	3	2	4	1849	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
246a551890e7bd54b36f415accc57e2f918e23d44f276ea6929f9b86f4e83e99	RVT-UG17	2145	4	2	4	1862	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
b4e6f01f8ecad64553baae1906948194d584b176795937442cac7f88ba174d45	RVT-GII	2144	1	1	2	1847	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
89cdd3d50f7f75003061f029898e007e6d969b9af939054eed88b1be81cdb755	Retron	2124	1	1	3	2061	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
16fd4079d3cc7a744383a9d069ee157a5eac6569131827f1e8e625eca07fc3cc	RVT-GII	2123	5	2	2	1838	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
f2ebc446cecdb5594347e0e5a1b6e1d32a739252bc0214027c34a099d0a6d944	RVT-GII	2122	1	1	2	1869	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
1bbc4d481fcb56b1c101a79fdd107e3221b9282a6cc9630633b37cede2ec6f6f	RVT-GII	2108	1	1	2	2107	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
a27c90612f5a8e5a4b787b12d95f0f8c90e7b3dd0fd83ebeae97cb782bfa86f3	RVT-GII	2084	2	2	2	2058	exact RT sequences	each exact RT occurring in >=20 genomes, one per row
