metric	family	at_least	n_exact_rt	n_exact_rt_total	pct	unit	denominator
genomes per exact RT	other	20	429	31229	1.3737	exact RT sequences	exact RT sequences of that family bucket
genomes per exact RT	other	50	182	31229	0.5828	exact RT sequences	exact RT sequences of that family bucket
genomes per exact RT	other	100	95	31229	0.3042	exact RT sequences	exact RT sequences of that family bucket
genomes per exact RT	other	1000	15	31229	0.048	exact RT sequences	exact RT sequences of that family bucket
genomes per exact RT	other	10000	3	31229	0.0096	exact RT sequences	exact RT sequences of that family bucket
databases per exact RT	MULTI	1	7593	7593	100.0	exact RT sequences	exact RT sequences of that family bucket
databases per exact RT	MULTI	2	619	7593	8.1522	exact RT sequences	exact RT sequences of that family bucket
databases per exact RT	MULTI	3	11	7593	0.1449	exact RT sequences	exact RT sequences of that family bucket
databases per exact RT	MULTI	5	0	7593	0.0	exact RT sequences	exact RT sequences of that family bucket
databases per exact RT	MULTI	10	0	7593	0.0	exact RT sequences	exact RT sequences of that family bucket
databases per exact RT	MULTI	20	0	7593	0.0	exact RT sequences	exact RT sequences of that family bucket
databases per exact RT	MULTI	50	0	7593	0.0	exact RT sequences	exact RT sequences of that family bucket
databases per exact RT	MULTI	100	0	7593	0.0	exact RT sequences	exact RT sequences of that family bucket
databases per exact RT	MULTI	1000	0	7593	0.0	exact RT sequences	exact RT sequences of that family bucket
databases per exact RT	MULTI	10000	0	7593	0.0	exact RT sequences	exact RT sequences of that family bucket
databases per exact RT	RVT-DGRs	1	76111	76111	100.0	exact RT sequences	exact RT sequences of that family bucket
databases per exact RT	RVT-DGRs	2	35760	76111	46.984	exact RT sequences	exact RT sequences of that family bucket
databases per exact RT	RVT-DGRs	3	3972	76111	5.2187	exact RT sequences	exact RT sequences of that family bucket
databases per exact RT	RVT-DGRs	5	3	76111	0.0039	exact RT sequences	exact RT sequences of that family bucket
databases per exact RT	RVT-DGRs	10	0	76111	0.0	exact RT sequences	exact RT sequences of that family bucket
databases per exact RT	RVT-DGRs	20	0	76111	0.0	exact RT sequences	exact RT sequences of that family bucket
databases per exact RT	RVT-DGRs	50	0	76111	0.0	exact RT sequences	exact RT sequences of that family bucket
databases per exact RT	RVT-DGRs	100	0	76111	0.0	exact RT sequences	exact RT sequences of that family bucket
databases per exact RT	RVT-DGRs	1000	0	76111	0.0	exact RT sequences	exact RT sequences of that family bucket
databases per exact RT	RVT-DGRs	10000	0	76111	0.0	exact RT sequences	exact RT sequences of that family bucket
databases per exact RT	RVT-GII	1	256624	256624	100.0	exact RT sequences	exact RT sequences of that family bucket
databases per exact RT	RVT-GII	2	115894	256624	45.161	exact RT sequences	exact RT sequences of that family bucket
databases per exact RT	RVT-GII	3	8096	256624	3.1548	exact RT sequences	exact RT sequences of that family bucket
databases per exact RT	RVT-GII	5	29	256624	0.0113	exact RT sequences	exact RT sequences of that family bucket
databases per exact RT	RVT-GII	10	0	256624	0.0	exact RT sequences	exact RT sequences of that family bucket
databases per exact RT	RVT-GII	20	0	256624	0.0	exact RT sequences	exact RT sequences of that family bucket
databases per exact RT	RVT-GII	50	0	256624	0.0	exact RT sequences	exact RT sequences of that family bucket
databases per exact RT	RVT-GII	100	0	256624	0.0	exact RT sequences	exact RT sequences of that family bucket
databases per exact RT	RVT-GII	1000	0	256624	0.0	exact RT sequences	exact RT sequences of that family bucket
databases per exact RT	RVT-GII	10000	0	256624	0.0	exact RT sequences	exact RT sequences of that family bucket
databases per exact RT	RVT-UG2	1	8423	8423	100.0	exact RT sequences	exact RT sequences of that family bucket
databases per exact RT	RVT-UG2	2	4268	8423	50.6708	exact RT sequences	exact RT sequences of that family bucket
databases per exact RT	RVT-UG2	3	439	8423	5.2119	exact RT sequences	exact RT sequences of that family bucket
databases per exact RT	RVT-UG2	5	0	8423	0.0	exact RT sequences	exact RT sequences of that family bucket
databases per exact RT	RVT-UG2	10	0	8423	0.0	exact RT sequences	exact RT sequences of that family bucket
databases per exact RT	RVT-UG2	20	0	8423	0.0	exact RT sequences	exact RT sequences of that family bucket
databases per exact RT	RVT-UG2	50	0	8423	0.0	exact RT sequences	exact RT sequences of that family bucket
databases per exact RT	RVT-UG2	100	0	8423	0.0	exact RT sequences	exact RT sequences of that family bucket
databases per exact RT	RVT-UG2	1000	0	8423	0.0	exact RT sequences	exact RT sequences of that family bucket
databases per exact RT	RVT-UG2	10000	0	8423	0.0	exact RT sequences	exact RT sequences of that family bucket
databases per exact RT	Retron	1	78287	78287	100.0	exact RT sequences	exact RT sequences of that family bucket
databases per exact RT	Retron	2	36373	78287	46.4611	exact RT sequences	exact RT sequences of that family bucket
databases per exact RT	Retron	3	4043	78287	5.1643	exact RT sequences	exact RT sequences of that family bucket
databases per exact RT	Retron	5	6	78287	0.0077	exact RT sequences	exact RT sequences of that family bucket
databases per exact RT	Retron	10	0	78287	0.0	exact RT sequences	exact RT sequences of that family bucket
databases per exact RT	Retron	20	0	78287	0.0	exact RT sequences	exact RT sequences of that family bucket
databases per exact RT	Retron	50	0	78287	0.0	exact RT sequences	exact RT sequences of that family bucket
databases per exact RT	Retron	100	0	78287	0.0	exact RT sequences	exact RT sequences of that family bucket
databases per exact RT	Retron	1000	0	78287	0.0	exact RT sequences	exact RT sequences of that family bucket
databases per exact RT	Retron	10000	0	78287	0.0	exact RT sequences	exact RT sequences of that family bucket
databases per exact RT	other	1	31229	31229	100.0	exact RT sequences	exact RT sequences of that family bucket
databases per exact RT	other	2	15705	31229	50.2898	exact RT sequences	exact RT sequences of that family bucket
databases per exact RT	other	3	1121	31229	3.5896	exact RT sequences	exact RT sequences of that family bucket
databases per exact RT	other	5	1	31229	0.0032	exact RT sequences	exact RT sequences of that family bucket
databases per exact RT	other	10	0	31229	0.0	exact RT sequences	exact RT sequences of that family bucket
databases per exact RT	other	20	0	31229	0.0	exact RT sequences	exact RT sequences of that family bucket
databases per exact RT	other	50	0	31229	0.0	exact RT sequences	exact RT sequences of that family bucket
databases per exact RT	other	100	0	31229	0.0	exact RT sequences	exact RT sequences of that family bucket
databases per exact RT	other	1000	0	31229	0.0	exact RT sequences	exact RT sequences of that family bucket
databases per exact RT	other	10000	0	31229	0.0	exact RT sequences	exact RT sequences of that family bucket
