metric	recurrence_class	at_least	n_pairs	n_pairs_total	pct	unit	denominator
species per pair	one_genome_multiple_loci	1	36	36	100.0	exact pairs	exact pairs of that recurrence class
species per pair	one_genome_multiple_loci	2	0	36	0.0	exact pairs	exact pairs of that recurrence class
species per pair	one_genome_multiple_loci	5	0	36	0.0	exact pairs	exact pairs of that recurrence class
species per pair	one_genome_multiple_loci	10	0	36	0.0	exact pairs	exact pairs of that recurrence class
species per pair	one_genome_multiple_loci	100	0	36	0.0	exact pairs	exact pairs of that recurrence class
species per pair	one_genome_multiple_loci	1000	0	36	0.0	exact pairs	exact pairs of that recurrence class
species per pair	one_genome_multiple_loci	10000	0	36	0.0	exact pairs	exact pairs of that recurrence class
species per pair	one_physical_locus_multiple_database_copies	1	9362	9362	100.0	exact pairs	exact pairs of that recurrence class
species per pair	one_physical_locus_multiple_database_copies	2	6643	9362	70.9571	exact pairs	exact pairs of that recurrence class
species per pair	one_physical_locus_multiple_database_copies	5	0	9362	0.0	exact pairs	exact pairs of that recurrence class
species per pair	one_physical_locus_multiple_database_copies	10	0	9362	0.0	exact pairs	exact pairs of that recurrence class
species per pair	one_physical_locus_multiple_database_copies	100	0	9362	0.0	exact pairs	exact pairs of that recurrence class
species per pair	one_physical_locus_multiple_database_copies	1000	0	9362	0.0	exact pairs	exact pairs of that recurrence class
species per pair	one_physical_locus_multiple_database_copies	10000	0	9362	0.0	exact pairs	exact pairs of that recurrence class
species per pair	one_physical_locus_multiple_records	1	13	13	100.0	exact pairs	exact pairs of that recurrence class
species per pair	one_physical_locus_multiple_records	2	0	13	0.0	exact pairs	exact pairs of that recurrence class
species per pair	one_physical_locus_multiple_records	5	0	13	0.0	exact pairs	exact pairs of that recurrence class
species per pair	one_physical_locus_multiple_records	10	0	13	0.0	exact pairs	exact pairs of that recurrence class
species per pair	one_physical_locus_multiple_records	100	0	13	0.0	exact pairs	exact pairs of that recurrence class
species per pair	one_physical_locus_multiple_records	1000	0	13	0.0	exact pairs	exact pairs of that recurrence class
species per pair	one_physical_locus_multiple_records	10000	0	13	0.0	exact pairs	exact pairs of that recurrence class
species per pair	one_species_multiple_genomes	1	4452	4452	100.0	exact pairs	exact pairs of that recurrence class
species per pair	one_species_multiple_genomes	2	0	4452	0.0	exact pairs	exact pairs of that recurrence class
species per pair	one_species_multiple_genomes	5	0	4452	0.0	exact pairs	exact pairs of that recurrence class
species per pair	one_species_multiple_genomes	10	0	4452	0.0	exact pairs	exact pairs of that recurrence class
species per pair	one_species_multiple_genomes	100	0	4452	0.0	exact pairs	exact pairs of that recurrence class
species per pair	one_species_multiple_genomes	1000	0	4452	0.0	exact pairs	exact pairs of that recurrence class
species per pair	one_species_multiple_genomes	10000	0	4452	0.0	exact pairs	exact pairs of that recurrence class
species per pair	single_placement	1	12005	12005	100.0	exact pairs	exact pairs of that recurrence class
species per pair	single_placement	2	0	12005	0.0	exact pairs	exact pairs of that recurrence class
species per pair	single_placement	5	0	12005	0.0	exact pairs	exact pairs of that recurrence class
species per pair	single_placement	10	0	12005	0.0	exact pairs	exact pairs of that recurrence class
species per pair	single_placement	100	0	12005	0.0	exact pairs	exact pairs of that recurrence class
species per pair	single_placement	1000	0	12005	0.0	exact pairs	exact pairs of that recurrence class
species per pair	single_placement	10000	0	12005	0.0	exact pairs	exact pairs of that recurrence class
databases per pair	multiple_species	1	5056	5056	100.0	exact pairs	exact pairs of that recurrence class
databases per pair	multiple_species	2	4736	5056	93.6709	exact pairs	exact pairs of that recurrence class
databases per pair	multiple_species	5	5	5056	0.0989	exact pairs	exact pairs of that recurrence class
databases per pair	multiple_species	10	0	5056	0.0	exact pairs	exact pairs of that recurrence class
databases per pair	multiple_species	100	0	5056	0.0	exact pairs	exact pairs of that recurrence class
databases per pair	multiple_species	1000	0	5056	0.0	exact pairs	exact pairs of that recurrence class
databases per pair	multiple_species	10000	0	5056	0.0	exact pairs	exact pairs of that recurrence class
databases per pair	one_genome_multiple_loci	1	36	36	100.0	exact pairs	exact pairs of that recurrence class
databases per pair	one_genome_multiple_loci	2	0	36	0.0	exact pairs	exact pairs of that recurrence class
databases per pair	one_genome_multiple_loci	5	0	36	0.0	exact pairs	exact pairs of that recurrence class
databases per pair	one_genome_multiple_loci	10	0	36	0.0	exact pairs	exact pairs of that recurrence class
databases per pair	one_genome_multiple_loci	100	0	36	0.0	exact pairs	exact pairs of that recurrence class
databases per pair	one_genome_multiple_loci	1000	0	36	0.0	exact pairs	exact pairs of that recurrence class
databases per pair	one_genome_multiple_loci	10000	0	36	0.0	exact pairs	exact pairs of that recurrence class
databases per pair	one_physical_locus_multiple_database_copies	1	9362	9362	100.0	exact pairs	exact pairs of that recurrence class
databases per pair	one_physical_locus_multiple_database_copies	2	9362	9362	100.0	exact pairs	exact pairs of that recurrence class
databases per pair	one_physical_locus_multiple_database_copies	5	0	9362	0.0	exact pairs	exact pairs of that recurrence class
databases per pair	one_physical_locus_multiple_database_copies	10	0	9362	0.0	exact pairs	exact pairs of that recurrence class
databases per pair	one_physical_locus_multiple_database_copies	100	0	9362	0.0	exact pairs	exact pairs of that recurrence class
databases per pair	one_physical_locus_multiple_database_copies	1000	0	9362	0.0	exact pairs	exact pairs of that recurrence class
databases per pair	one_physical_locus_multiple_database_copies	10000	0	9362	0.0	exact pairs	exact pairs of that recurrence class
databases per pair	one_physical_locus_multiple_records	1	13	13	100.0	exact pairs	exact pairs of that recurrence class
databases per pair	one_physical_locus_multiple_records	2	0	13	0.0	exact pairs	exact pairs of that recurrence class
databases per pair	one_physical_locus_multiple_records	5	0	13	0.0	exact pairs	exact pairs of that recurrence class
databases per pair	one_physical_locus_multiple_records	10	0	13	0.0	exact pairs	exact pairs of that recurrence class
databases per pair	one_physical_locus_multiple_records	100	0	13	0.0	exact pairs	exact pairs of that recurrence class
databases per pair	one_physical_locus_multiple_records	1000	0	13	0.0	exact pairs	exact pairs of that recurrence class
databases per pair	one_physical_locus_multiple_records	10000	0	13	0.0	exact pairs	exact pairs of that recurrence class
