family	rt_aa_len	cumulative_pct	n_exact_rt	unit	denominator
MULTI	720	88.0153	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	735	88.4894	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	749	89.003	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	767	89.543	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	783	90.004	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	798	90.5044	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	815	91.018	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	833	91.5185	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	856	91.9926	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	876	92.4931	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	899	93.0067	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	922	93.5203	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	940	93.9945	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	958	94.5213	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	977	94.9954	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	1004	95.509	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	1025	95.9963	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	1060	96.5099	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
MULTI	1104	96.9972	7593	exact RT sequences	exact RTs of that family (V-RT-SINGLE; MULTI separate)
