family_A	via_B	family_C	n_testable_positions	n_consistent_within_2	pct_transitively_consistent	median_offset
GII	UG5	AbiA	84	67	79.8	0
GII	AbiA	Retrons	103	98	95.1	0
GII	AbiA	DGRs	109	96	88.1	0
GII	AbiA	CRISPR	115	114	99.1	0
GII	AbiA	UG3	114	112	98.2	0
GII	AbiA	UG5	83	70	84.3	0
DGRs	Retrons	GII	125	110	88.0	0
DGRs	Retrons	CRISPR	133	131	98.5	0
DGRs	Retrons	UG3	120	115	95.8	0
DGRs	Retrons	UG5	89	78	87.6	0
DGRs	Retrons	AbiA	123	117	95.1	0
DGRs	GII	Retrons	120	111	92.5	0
DGRs	GII	CRISPR	205	185	90.2	0
DGRs	GII	UG3	125	104	83.2	0
DGRs	GII	UG5	151	102	67.5	0
DGRs	GII	AbiA	111	93	83.8	0
DGRs	CRISPR	Retrons	133	131	98.5	0
DGRs	CRISPR	GII	205	189	92.2	0
DGRs	CRISPR	UG3	139	135	97.1	0
DGRs	CRISPR	UG5	217	158	72.8	0
DGRs	CRISPR	AbiA	124	114	91.9	0
DGRs	UG3	Retrons	116	116	100.0	0
DGRs	UG3	GII	123	107	87.0	0
DGRs	UG3	CRISPR	134	131	97.8	0
DGRs	UG3	UG5	99	85	85.9	0
DGRs	UG3	AbiA	120	105	87.5	0
DGRs	UG5	Retrons	88	80	90.9	0
DGRs	UG5	GII	144	102	70.8	0
DGRs	UG5	CRISPR	182	156	85.7	0
DGRs	UG5	UG3	99	84	84.8	0
DGRs	UG5	AbiA	102	69	67.6	0
DGRs	AbiA	Retrons	118	118	100.0	0
DGRs	AbiA	GII	108	93	86.1	0
DGRs	AbiA	CRISPR	120	115	95.8	0
DGRs	AbiA	UG3	107	107	100.0	0
DGRs	AbiA	UG5	108	77	71.3	0
CRISPR	Retrons	GII	186	161	86.6	0
CRISPR	Retrons	DGRs	138	131	94.9	0
CRISPR	Retrons	UG3	156	145	92.9	0
CRISPR	Retrons	UG5	88	72	81.8	0
CRISPR	Retrons	AbiA	183	157	85.8	0
CRISPR	GII	Retrons	175	167	95.4	0
CRISPR	GII	DGRs	185	170	91.9	0
CRISPR	GII	UG3	154	151	98.1	0
CRISPR	GII	UG5	189	117	61.9	0
CRISPR	GII	AbiA	116	113	97.4	0
CRISPR	DGRs	Retrons	133	131	98.5	0
CRISPR	DGRs	GII	205	189	92.2	0
CRISPR	DGRs	UG3	139	135	97.1	0
CRISPR	DGRs	UG5	217	158	72.8	0
CRISPR	DGRs	AbiA	124	114	91.9	0
CRISPR	UG3	Retrons	160	147	91.9	0
CRISPR	UG3	GII	157	152	96.8	0
CRISPR	UG3	DGRs	136	135	99.3	0
CRISPR	UG3	UG5	113	93	82.3	0
CRISPR	UG3	AbiA	125	117	93.6	0
CRISPR	UG5	Retrons	81	72	88.9	0
CRISPR	UG5	GII	164	135	82.3	0
CRISPR	UG5	DGRs	177	141	79.7	0
CRISPR	UG5	UG3	126	112	88.9	0
CRISPR	UG5	AbiA	112	72	64.3	0
CRISPR	AbiA	Retrons	165	158	95.8	0
CRISPR	AbiA	GII	116	114	98.3	0
CRISPR	AbiA	DGRs	163	116	71.2	0
CRISPR	AbiA	UG3	118	118	100.0	0
CRISPR	AbiA	UG5	120	93	77.5	0
UG3	Retrons	GII	134	96	71.6	0
UG3	Retrons	DGRs	117	116	99.1	0
UG3	Retrons	CRISPR	163	144	88.3	0
UG3	Retrons	UG5	90	80	88.9	0
UG3	Retrons	AbiA	122	114	93.4	0
UG3	GII	Retrons	118	97	82.2	0
UG3	GII	DGRs	127	107	84.3	0
UG3	GII	CRISPR	156	153	98.1	0
UG3	GII	UG5	102	73	71.6	0
UG3	GII	AbiA	118	110	93.2	0
UG3	DGRs	Retrons	116	116	100.0	0
UG3	DGRs	GII	123	107	87.0	0
UG3	DGRs	CRISPR	135	132	97.8	0
UG3	DGRs	UG5	102	88	86.3	0
UG3	DGRs	AbiA	121	107	88.4	0
UG3	CRISPR	Retrons	160	142	88.8	0
UG3	CRISPR	GII	157	155	98.7	0
UG3	CRISPR	DGRs	136	135	99.3	0
UG3	CRISPR	UG5	113	93	82.3	0
UG3	CRISPR	AbiA	125	117	93.6	0
UG3	UG5	Retrons	88	88	100.0	0
UG3	UG5	GII	87	78	89.7	0
UG3	UG5	DGRs	95	86	90.5	0
UG3	UG5	CRISPR	98	79	80.6	0
UG3	UG5	AbiA	95	87	91.6	0
UG3	AbiA	Retrons	114	114	100.0	0
UG3	AbiA	GII	119	114	95.8	0
UG3	AbiA	DGRs	108	108	100.0	0
UG3	AbiA	CRISPR	118	118	100.0	0
UG3	AbiA	UG5	95	76	80.0	0
UG5	Retrons	GII	72	63	87.5	0
UG5	Retrons	DGRs	87	78	89.7	0
UG5	Retrons	CRISPR	81	73	90.1	0
UG5	Retrons	UG3	89	85	95.5	0
UG5	Retrons	AbiA	89	82	92.1	0
UG5	GII	Retrons	63	63	100.0	0
UG5	GII	DGRs	120	93	77.5	0
UG5	GII	CRISPR	147	130	88.4	0
UG5	GII	UG3	87	74	85.1	0
UG5	GII	AbiA	77	66	85.7	0
UG5	DGRs	Retrons	87	79	90.8	0
UG5	DGRs	GII	143	94	65.7	0
UG5	DGRs	CRISPR	174	141	81.0	0
UG5	DGRs	UG3	95	80	84.2	0
UG5	DGRs	AbiA	97	69	71.1	0
UG5	CRISPR	Retrons	81	73	90.1	0
UG5	CRISPR	GII	158	131	82.9	0
UG5	CRISPR	DGRs	170	141	82.9	0
UG5	CRISPR	UG3	117	99	84.6	0
UG5	CRISPR	AbiA	117	71	60.7	0
UG5	UG3	Retrons	86	86	100.0	0
UG5	UG3	GII	87	78	89.7	0
UG5	UG3	DGRs	95	80	84.2	0
UG5	UG3	CRISPR	115	97	84.3	0
UG5	UG3	AbiA	115	91	79.1	0
UG5	AbiA	Retrons	84	82	97.6	0
UG5	AbiA	GII	74	67	90.5	0
UG5	AbiA	DGRs	96	68	70.8	0
UG5	AbiA	CRISPR	112	71	63.4	0
UG5	AbiA	UG3	101	91	90.1	0
AbiA	Retrons	GII	115	100	87.0	0
AbiA	Retrons	DGRs	122	121	99.2	0
AbiA	Retrons	CRISPR	170	161	94.7	0
AbiA	Retrons	UG3	116	114	98.3	0
AbiA	Retrons	UG5	90	73	81.1	0
AbiA	GII	Retrons	107	101	94.4	0
AbiA	GII	DGRs	111	96	86.5	0
AbiA	GII	CRISPR	119	118	99.2	0
AbiA	GII	UG3	118	116	98.3	0
AbiA	GII	UG5	85	71	83.5	0
AbiA	DGRs	Retrons	120	120	100.0	0
AbiA	DGRs	GII	110	96	87.3	0
AbiA	DGRs	CRISPR	158	116	73.4	0
AbiA	DGRs	UG3	108	107	99.1	0
AbiA	DGRs	UG5	117	76	65.0	0
AbiA	CRISPR	Retrons	165	160	97.0	0
AbiA	CRISPR	GII	117	117	100.0	0
AbiA	CRISPR	DGRs	165	117	70.9	0
AbiA	CRISPR	UG3	119	119	100.0	0
AbiA	CRISPR	UG5	121	94	77.7	0
AbiA	UG3	Retrons	114	114	100.0	0
AbiA	UG3	GII	119	113	95.0	0
AbiA	UG3	DGRs	109	109	100.0	0
AbiA	UG3	CRISPR	118	117	99.2	0
AbiA	UG3	UG5	95	75	78.9	0
AbiA	UG5	Retrons	82	74	90.2	0
AbiA	UG5	GII	79	76	96.2	0
AbiA	UG5	DGRs	100	75	75.0	0
AbiA	UG5	CRISPR	112	94	83.9	0
AbiA	UG5	UG3	100	76	76.0	0
