modality	retron_type	pair_id	x	y
RT	TypeIB2	1075	0.71710366	0.061748743
RT	TypeIV	1076	4.7113347	0.56468904
RT	TypeIB2_firmi	1077	0.030701831	0.66471416
RT	TypeIIA3_firmi	1078	-3.0400968	1.8042037
RT	TypeIA_IIAI	1079	0.8319082	-5.702964
RT	TypeIIA3_proteo	1080	-2.6146097	-2.9054196
RT	TypeIIA3_proteo	1081	-2.9538589	-3.9967465
RT	TypeIIA3_firmi	1082	-3.371013	1.763768
RT	TypeIIA3_proteo	1083	-2.9458065	-4.225852
RT	TypeIB1	1084	-0.55139416	-0.32174253
RT	Ec107_like	1085	-5.8908877	-12.346598
RT	Ec107_like	1086	-6.394256	1.6136742
RT	TypeIIIA3	1087	-9.193761	-4.451142
RT	Ec107_like	1088	-6.8267756	-13.272674
RT	TypeIB1	1089	0.14395516	-0.48435584
RT	TypeIA_IIAI	1090	1.2026525	-5.6145597
RT	Ec107_like	1091	-5.941978	-13.4605665
RT	TypeIV	1092	4.878679	-0.6048886
RT	TypeIV	1093	1.6688265	-2.2375894
RT	Ec107_like	1094	-6.1713285	-13.71866
RT	TypeIV	1095	5.3796096	0.050596327
RT	TypeIB2_firmi	1096	0.4316762	0.65029526
RT	TypeIA_IIAI	1097	0.18576409	-5.134353
RT	TypeIV	1098	5.0085235	-0.6866351
RT	Ec107_like	1099	-5.889234	2.1975744
RT	TypeIIIA1	1100	-3.8402617	-0.5851653
RT	OutgroupA	1101	-1.7277066	-7.7774205
RT	TypeIV	1102	4.6125894	0.051571034
RT	TypeIC1_IC2	1103	4.8197694	-5.031419
RT	TypeXIIIB_Ne144	1104	-3.8984196	-2.2525477
RT	TypeIV	1105	5.1010537	0.32556567
RT	TypeXIIIB_Ne144	1106	-3.7286267	-2.357025
RT	TypeIIIA3	1107	-8.814837	-4.2077384
RT	Ec107_like	1108	-6.406587	1.3819281
RT	Ec107_like	1109	-6.6366944	-13.485575
RT	TypeIIIA3	1110	-9.196507	-4.5904193
RT	TypeIC1_IC2	1111	5.07701	-5.4327483
RT	TypeIV	1112	4.678289	0.4940748
RT	TypeXIIIB_Ne144	1113	-5.548247	-4.8230476
RT	TypeIV	1114	5.602615	-0.0016325819
RT	TypeIIA3_proteo	1115	-2.333589	-3.2564113
RT	TypeIIA3_proteo	1116	-2.4995341	-3.1801987
RT	TypeIA_IIAI	1117	0.072685376	-5.4574018
RT	TypeIV	1118	5.5175447	-0.12581082
RT	TypeIB1	1119	-0.6759571	-0.11594188
RT	Ec107_like	1120	-5.780979	3.1981692
RT	TypeIX	1121	2.0101979	-1.2306083
RT	TypeIA_IIAI	1122	0.27043232	-5.023044
