rt50	type_label_modal	type_labels	loci	exact_rt	rt90	loci_per_rt90	genomes	species	genera	phyla	sources	matched_local	matched_t1	unmatched_adequate	unmatched_limited	rt90_matched_s12	rt90_unmatched_s12	rt90_unmatched_s3	cm_models	padloc_xii_loci	DENOVO_FEASIBLE_S12	DENOVO_FEASIBLE_S3
291f76fb94869f1a9c5bfa52df2e597cb702862ec30e8639408d4b9184fc9633	II-A	UNLABELLED|II-A	56	23	20	2.8	56	29	16	2	mgnify_marine|ncbi_bacteria|gem|mgnify_soil|gtdb_bacteria	0	0	56	0	0	19	0		0.0	True	False
63b4a83dc8c81dc8950fdb3ac3f3aafa1c3484dbb956bc162be0c8c852841e02	I-C	I-C	63	36	24	2.6	63	38	22	2	gtdb_bacteria|mgnify_marine|mgnify_soil|gem|ncbi_bacteria	0	0	53	10	0	0	19		59.0	False	True
90b6b5db15d2a51e4f47d2e50f70d936936a190374a7467b6a8851a2cd0f169b	II-A	UNLABELLED|II-A	56	28	19	2.9	56	40	27	2	gtdb_bacteria|ncbi_bacteria|mgnify_marine	0	0	56	0	0	17	0		0.0	True	False
7e3a48ff560fc80420cffefe7fed148c5d1665bea1deeea5548d04076226bcad	II-A	II-A|UNLABELLED|VII-A2	27160	291	19	1429.5	27160	102	26	3	ncbi_bacteria|gem|mgnify_human_gut|mgnify_marine|gtdb_bacteria	0	0	24389	2771	0	19	0		0.0	True	False
19fa5d3aa71d3b6e93180a5329fb3e4b2a40dac9be128e62fb6c7f2faf61c073	II-A	II-A	182	62	19	9.6	175	50	33	5	gtdb_bacteria|mgnify_human_gut|gem|ncbi_bacteria	0	0	179	3	0	19	0		0.0	True	False
5254067361b560712690e33e5b0bfda28b1a3d1e815413a19570e099a6b828c7	VI	VI|UNLABELLED	24	19	19	1.3	24	21	14	4	gem|mgnify_marine|mgnify_soil|ncbi_bacteria|gtdb_bacteria	0	0	23	1	0	16	0		0.0	True	False
e2b555332daee912d8c92d50e96fb9ddcbf37d91d17d7086c20d34523882e724	XII	XII	4963	306	24	206.8	4963	73	26	3	ncbi_bacteria|mgnify_human_gut|gem|gtdb_bacteria|mgnify_marine	0	0	4373	590	0	0	18		4472.0	False	True
b7989ce79983e2ae50ea1234ee2ff55b74a3c3835ccd7bf86127f451d2af31a0	VI	UNLABELLED|VI	96	30	18	5.3	96	39	16	2	gtdb_bacteria|ncbi_bacteria|gem	0	0	96	0	0	13	0		0.0	True	False
6c3b05f8fdc202dee23f54995e0baa7e808aa5b01e7962694cf81abef04fb663	XI	XI	30	19	18	1.7	30	26	13	2	gtdb_bacteria|mgnify_soil|ncbi_bacteria|gem	0	0	30	0	0	0	18		0.0	False	True
f568f340453525434e76f63f11139cbfce04cf861aac7e49e92d59402fc73551	III-A	III-A	39	20	18	2.2	39	27	10	2	mgnify_marine|gem|gtdb_bacteria|ncbi_bacteria|mgnify_soil	0	0	39	0	0	18	0		0.0	True	False
