rt50	loci	exact_rt	rt90	loci_per_rt90	genomes	species	genera	phyla	sources	type_labels	type_label_modal	cm_models	matched_local	matched_t1	unmatched_adequate	unmatched_limited	unusable	rt90_pos_pool	rt90_matched_s12	rt90_unmatched_s12	rt90_unmatched_s3	rt90_unmatched_any	padloc_xii_loci	any_matched	POS_FEASIBLE	MIXED	DENOVO_FEASIBLE_S12	DENOVO_FEASIBLE_S3
4bf326263e8f92cd931f6c1c871451768c7a1ff74ffe03c26ef3ee84109f5906	1436	77	9	159.6	1434	97	23	3	gtdb_bacteria|gem|mgnify_human_gut|mgnify_soil|ncbi_bacteria	V|IV|UNLABELLED	IV		0	0	1407	29	0	0	0	9	0	9	0.0	False	False	False	True	False
0d126f14136ef56b1be63fe91824702534407b088851ccdaa8e854a004c27a19	1419	142	77	18.4	1417	164	46	3	ncbi_bacteria|mgnify_soil|gem|mgnify_human_gut|mgnify_marine|gtdb_bacteria	I-A|II-A|UNLABELLED	II-A	TypeIA_IIAI	0	1381	5	33	0	0	0	2	0	3	0.0	True	False	False	False	False
63afe61bbedc12263962bc7d3afda3428fd8fb21006d11e2fd3ccbe8048fdb99	1412	227	73	19.3	1409	208	64	6	mgnify_marine|mgnify_human_gut|gtdb_bacteria|ncbi_bacteria|gem|mgnify_soil	IX|II-A|UNLABELLED|VII-A2	II-A	TypeIIA3_proteo	1400	0	0	12	0	71	71	0	0	0	0.0	True	True	False	False	False
385e96a6ba7d9b33ff9c2e2c224e00dd6466ed6429238966f696168bc444f7eb	1360	117	9	151.1	1333	58	19	4	gtdb_bacteria|mgnify_marine|mgnify_human_gut|gem|ncbi_bacteria	II-A|UNLABELLED	II-A		0	0	1248	112	0	0	0	9	0	9	0.0	False	False	False	True	False
b72373a9556a0e367b0dd0bcc91be755b664bd881a496fccd6013f5faeeafcb1	1342	819	514	2.6	1331	669	267	11	gtdb_bacteria|mgnify_soil|ncbi_bacteria|mgnify_marine|gem	UNLABELLED|XIII	XIII	TypeXIIIB_Ne144	828	212	229	73	0	339	339	14	0	63	0.0	True	True	True	False	False
04bb7e9787cb6ead9c0a9937af5c7b82d835798029bc9b5543b657aef2828faf	1335	205	42	31.8	1326	86	39	5	mgnify_human_gut|gtdb_bacteria|ncbi_bacteria|gem	UNLABELLED	UNLABELLED	Ec107_like	1175	118	10	32	0	0	0	0	0	3	0.0	True	False	False	False	False
58e0ed96ae679b229a0294e6becc93910ac4c057f07f554cfaf22f39a3cf72cc	1309	216	39	33.6	1307	63	21	2	ncbi_bacteria|gem|gtdb_bacteria	IX|UNLABELLED|I-A|XIII	XIII	TypeXIIIA_firmi	0	922	303	84	0	0	0	24	0	24	0.0	True	False	False	False	False
485feefcab1b21e841a631640491473043f8d3e24866c00af851023a19a9a7bf	1279	73	8	159.9	1279	44	15	3	mgnify_human_gut|gem|gtdb_bacteria|ncbi_bacteria	I-B|UNLABELLED	I-B	TypeIB2	1262	0	0	17	0	7	7	0	0	0	0.0	True	True	False	False	False
34ef4566f2815e651566df0d5e54e072c0ed258a9036ce14ac48c9877504fea1	1278	132	26	49.2	1270	180	60	7	ncbi_bacteria|gem|mgnify_human_gut|gtdb_bacteria	UNLABELLED	UNLABELLED		0	0	1162	116	0	0	0	0	0	23	0.0	False	False	False	False	False
1fabc537a0bdb36f55d56f74ef3d296f7ccff21303408bc0b15fee6660339b9f	1261	143	37	34.1	1261	8	6	3	mgnify_human_gut|gtdb_bacteria|ncbi_bacteria|gem	UNLABELLED|VII-A2|II-A	UNLABELLED	TypeIA_IIAI	0	275	34	952	0	0	0	5	0	7	0.0	True	False	False	False	False
0107b3b4ce78501a9b26c4a02e53576b825cfcee56e8d3e1c7b57d67fdc9ec8e	1225	48	6	204.2	1199	36	10	4	mgnify_human_gut|gtdb_bacteria|ncbi_bacteria|mgnify_soil	UNLABELLED	UNLABELLED		0	0	1205	20	0	0	0	0	0	6	0.0	False	False	False	False	False
bbf16eccde3dc12a7f89f856396fd904d8153c038edfc7bbe6fe16b2a66338d4	1216	43	1	1216.0	1216	6	1	2	gtdb_bacteria|mgnify_soil|ncbi_bacteria	III-A	III-A		0	0	991	225	0	0	0	1	0	1	0.0	False	False	False	False	False
21db6b524ce33eece3ee3c0f3be62a9c23af2bc3d17a391842ccfe59995b487f	1192	175	54	22.1	1191	86	33	4	gtdb_bacteria|gtdb_archaea|ncbi_archaea|mgnify_human_gut|gem|ncbi_bacteria|mgnify_soil	UNLABELLED|I-C|XIII	XIII	TypeXIIIA_firmi	0	1054	120	18	0	0	0	8	0	8	0.0	True	False	False	False	False
19f104611bfbc3cbfc291934a3acee451f07929d7343cddff28a3e4abcf8b123	1177	178	16	73.6	1172	137	30	3	mgnify_human_gut|gtdb_bacteria|ncbi_bacteria|gem	I-C	I-C	TypeIC1_IC2	1174	0	1	2	0	16	0	0	1	1	0.0	True	True	False	False	False
b5ecad9d47fd2088989e3897b705a943ec61d595a9d85ff4e22e0d5b2dc1051f	1140	342	76	15.0	1140	21	10	3	ncbi_bacteria|mgnify_human_gut|gtdb_bacteria|mgnify_marine	I-A|UNLABELLED|VII-A2|II-A	UNLABELLED	TypeIA_IIAI	7	113	20	1000	0	1	1	4	0	4	0.0	True	False	False	False	False
318981fcc560bcd4ee5f7438cd388b2cf7cd9f457d3a21ceeec5cfdcf6c996cc	1122	251	139	8.1	1111	283	106	9	ncbi_bacteria|mgnify_marine|mgnify_soil|gem|mgnify_human_gut|gtdb_bacteria	UNLABELLED|III-A	III-A	TypeIIIA2	1080	3	30	9	0	119	119	12	0	14	0.0	True	True	True	False	False
2623e844dd0a1f534987a51f15c927a67e1319dad5445d009f0cd4c34803c886	1111	397	76	14.6	1111	210	24	2	gtdb_bacteria|mgnify_marine|gem|ncbi_bacteria|mgnify_soil	UNLABELLED	UNLABELLED	OutgroupA|OutgroupB	1048	10	47	6	0	0	0	0	0	11	0.0	True	False	False	False	False
12d98868a0a1c5ac1cfdc89c9deb18cfef0a1b2aa803f7c36513a47a25194eaa	1038	107	29	35.8	1038	8	7	2	ncbi_bacteria|gem|gtdb_bacteria	UNLABELLED|II-A	UNLABELLED	TypeIA_IIAI	0	2	12	1024	0	0	0	1	0	2	0.0	True	False	False	False	False
383594b435f00d9edf6d459843df6998980320db6b2f1f6f82c8fc943913d191	1037	509	179	5.8	1032	168	51	4	gem|ncbi_bacteria|gtdb_bacteria|mgnify_human_gut	UNLABELLED|VII-A2	UNLABELLED	Ec107_like	621	1	375	40	0	3	3	1	0	70	0.0	True	False	False	False	False
02d016d4770527bdf2047b399b9b556adcae4444519bac3fc4a964ca75bb8d59	980	46	4	245.0	979	34	9	3	ncbi_bacteria|gtdb_bacteria|mgnify_human_gut	I-B|UNLABELLED	I-B	TypeIB2	957	5	0	18	0	4	4	0	0	0	0.0	True	False	False	False	False
8120394c21a5bcc7127f6486b8a7b6d11b8210ede17f590a961df25141c17fd5	958	74	27	35.5	863	77	15	2	ncbi_bacteria|mgnify_soil|gem|mgnify_marine|gtdb_bacteria	V|UNLABELLED	V	TypeV	888	63	2	5	0	18	18	2	0	2	0.0	True	True	False	False	False
74545cada67d80fe6251008b6321916a2ea63c301eaa6e8f951b7061836b285e	936	409	56	16.7	936	5	3	4	gem|ncbi_bacteria|mgnify_human_gut|gtdb_bacteria	I-C	I-C	TypeIC1_IC2	336	1	6	593	0	35	0	0	1	1	0.0	True	True	False	False	False
87674b2a721e0e0e3b726e5002025390eccd1a22e06f10a8c9171f66bbea80b0	911	42	9	101.2	908	47	13	3	mgnify_human_gut|gtdb_bacteria|ncbi_bacteria	UNLABELLED|VI|I-A	VI		0	0	896	15	0	0	0	8	0	9	0.0	False	False	False	True	False
c355e38d93377475f961a40158f8a46e833f5a41efc293a333291828997e5cb9	905	417	49	18.5	890	120	46	5	gtdb_bacteria|mgnify_human_gut|gem|ncbi_bacteria	UNLABELLED	UNLABELLED	Ec107_like	856	1	27	21	0	0	0	0	0	8	0.0	True	False	False	False	False
