source_file	population	system_types_raw	type_set_normalised	n_tokens	multilabel	n_records
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-CRISPR/RVT-UG7/RVT-DGRs"]	RVT-CRISPR/RVT-DGRs/RVT-UG7	3	True	2
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-CRISPR/RVT-UG7/RVT-GII"]	RVT-CRISPR/RVT-GII/RVT-UG7	3	True	5
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-CRISPR/RVT-UG7/RVT-UG17"]	RVT-CRISPR/RVT-UG17/RVT-UG7	3	True	1
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-CRISPR/RVT-UG7/RVT-UG19"]	RVT-CRISPR/RVT-UG19/RVT-UG7	3	True	2
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-CRISPR/RVT-UG7/RVT-UG21"]	RVT-CRISPR/RVT-UG21/RVT-UG7	3	True	1
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-CRISPR/RVT-UG7/RVT-UG23"]	RVT-CRISPR/RVT-UG23/RVT-UG7	3	True	5
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-CRISPR/RVT-UG7/RVT-UG26"]	RVT-CRISPR/RVT-UG26/RVT-UG7	3	True	2
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-CRISPR/RVT-UG8/RVT-GII"]	RVT-CRISPR/RVT-GII/RVT-UG8	3	True	1
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-DGRs","RVT-DGRs/RVT-GII"]	RVT-DGRs/RVT-GII	2	True	1
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-DGRs/RVT-AbiA/RVT-UG2"]	RVT-AbiA/RVT-DGRs/RVT-UG2	3	True	1
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-DGRs/RVT-CRISPR"]	RVT-CRISPR/RVT-DGRs	2	True	51
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-DGRs/RVT-CRISPR/RVT-G2L4"]	RVT-CRISPR/RVT-DGRs/RVT-G2L4	3	True	1
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-DGRs/RVT-CRISPR/RVT-G2Lb"]	RVT-CRISPR/RVT-DGRs/RVT-G2Lb	3	True	7
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-DGRs/RVT-CRISPR/RVT-GII"]	RVT-CRISPR/RVT-DGRs/RVT-GII	3	True	91
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-DGRs/RVT-CRISPR/RVT-UG2"]	RVT-CRISPR/RVT-DGRs/RVT-UG2	3	True	1
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-DGRs/RVT-CRISPR/RVT-UG20"]	RVT-CRISPR/RVT-DGRs/RVT-UG20	3	True	1
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-DGRs/RVT-CRISPR/RVT-UG25"]	RVT-CRISPR/RVT-DGRs/RVT-UG25	3	True	1
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-DGRs/RVT-CRISPR/RVT-UG26"]	RVT-CRISPR/RVT-DGRs/RVT-UG26	3	True	4
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-DGRs/RVT-CRISPR/RVT-UG27"]	RVT-CRISPR/RVT-DGRs/RVT-UG27	3	True	1
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-DGRs/RVT-CRISPR/RVT-UG28"]	RVT-CRISPR/RVT-DGRs/RVT-UG28	3	True	3
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-DGRs/RVT-CRISPR/RVT-UG28b"]	RVT-CRISPR/RVT-DGRs/RVT-UG28b	3	True	3
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-DGRs/RVT-CRISPR/RVT-UG4"]	RVT-CRISPR/RVT-DGRs/RVT-UG4	3	True	5
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-DGRs/RVT-CRISPR/RVT-UG7"]	RVT-CRISPR/RVT-DGRs/RVT-UG7	3	True	1
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-DGRs/RVT-G2Lb/RVT-CRISPR"]	RVT-CRISPR/RVT-DGRs/RVT-G2Lb	3	True	2
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-DGRs/RVT-G2Lc/RVT-GII"]	RVT-DGRs/RVT-G2Lc/RVT-GII	3	True	1
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-DGRs/RVT-GII"]	RVT-DGRs/RVT-GII	2	True	109
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-DGRs/RVT-GII/RVT-CRISPR"]	RVT-CRISPR/RVT-DGRs/RVT-GII	3	True	88
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-DGRs/RVT-GII/RVT-UG11"]	RVT-DGRs/RVT-GII/RVT-UG11	3	True	2
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-DGRs/RVT-GII/RVT-UG17"]	RVT-DGRs/RVT-GII/RVT-UG17	3	True	8
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-DGRs/RVT-GII/RVT-UG18"]	RVT-DGRs/RVT-GII/RVT-UG18	3	True	1
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-DGRs/RVT-GII/RVT-UG19"]	RVT-DGRs/RVT-GII/RVT-UG19	3	True	4
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-DGRs/RVT-GII/RVT-UG26"]	RVT-DGRs/RVT-GII/RVT-UG26	3	True	4
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-DGRs/RVT-GII/RVT-UG28b"]	RVT-DGRs/RVT-GII/RVT-UG28b	3	True	5
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-DGRs/RVT-GII/RVT-UG4"]	RVT-DGRs/RVT-GII/RVT-UG4	3	True	29
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-DGRs/RVT-GII/RVT-UG7"]	RVT-DGRs/RVT-GII/RVT-UG7	3	True	1
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-DGRs/RVT-UG10"]	RVT-DGRs/RVT-UG10	2	True	1
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-DGRs/RVT-UG10/RVT-GII"]	RVT-DGRs/RVT-GII/RVT-UG10	3	True	3
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-DGRs/RVT-UG10/RVT-UG11"]	RVT-DGRs/RVT-UG10/RVT-UG11	3	True	1
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-DGRs/RVT-UG10/RVT-UG4"]	RVT-DGRs/RVT-UG10/RVT-UG4	3	True	1
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-DGRs/RVT-UG11"]	RVT-DGRs/RVT-UG11	2	True	1
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-DGRs/RVT-UG11/RVT-GII"]	RVT-DGRs/RVT-GII/RVT-UG11	3	True	3
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-DGRs/RVT-UG11/RVT-UG12"]	RVT-DGRs/RVT-UG11/RVT-UG12	3	True	2
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-DGRs/RVT-UG11/RVT-UG17"]	RVT-DGRs/RVT-UG11/RVT-UG17	3	True	1
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-DGRs/RVT-UG11/RVT-UG20"]	RVT-DGRs/RVT-UG11/RVT-UG20	3	True	2
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-DGRs/RVT-UG11/RVT-UG26"]	RVT-DGRs/RVT-UG11/RVT-UG26	3	True	1
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-DGRs/RVT-UG11/RVT-UG4"]	RVT-DGRs/RVT-UG11/RVT-UG4	3	True	1
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-DGRs/RVT-UG12/RVT-GII"]	RVT-DGRs/RVT-GII/RVT-UG12	3	True	1
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-DGRs/RVT-UG12/RVT-UG26"]	RVT-DGRs/RVT-UG12/RVT-UG26	3	True	1
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-DGRs/RVT-UG12/RVT-UG4"]	RVT-DGRs/RVT-UG12/RVT-UG4	3	True	1
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-DGRs/RVT-UG13/RVT-UG12"]	RVT-DGRs/RVT-UG12/RVT-UG13	3	True	2
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-DGRs/RVT-UG13/RVT-UG26"]	RVT-DGRs/RVT-UG13/RVT-UG26	3	True	1
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-DGRs/RVT-UG13/RVT-UG7"]	RVT-DGRs/RVT-UG13/RVT-UG7	3	True	1
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-DGRs/RVT-UG16/RVT-CRISPR"]	RVT-CRISPR/RVT-DGRs/RVT-UG16	3	True	2
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-DGRs/RVT-UG16/RVT-UG21"]	RVT-DGRs/RVT-UG16/RVT-UG21	3	True	1
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-DGRs/RVT-UG16/RVT-UG23"]	RVT-DGRs/RVT-UG16/RVT-UG23	3	True	1
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-DGRs/RVT-UG17"]	RVT-DGRs/RVT-UG17	2	True	2
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-DGRs/RVT-UG17/RVT-CRISPR"]	RVT-CRISPR/RVT-DGRs/RVT-UG17	3	True	16
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-DGRs/RVT-UG17/RVT-GII"]	RVT-DGRs/RVT-GII/RVT-UG17	3	True	3
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-DGRs/RVT-UG17/RVT-UG19"]	RVT-DGRs/RVT-UG17/RVT-UG19	3	True	2
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-DGRs/RVT-UG17/RVT-UG20"]	RVT-DGRs/RVT-UG17/RVT-UG20	3	True	2
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-DGRs/RVT-UG17/RVT-UG25"]	RVT-DGRs/RVT-UG17/RVT-UG25	3	True	2
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-DGRs/RVT-UG17/RVT-UG26"]	RVT-DGRs/RVT-UG17/RVT-UG26	3	True	3
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-DGRs/RVT-UG17/RVT-UG4"]	RVT-DGRs/RVT-UG17/RVT-UG4	3	True	1
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-DGRs/RVT-UG18/RVT-GII"]	RVT-DGRs/RVT-GII/RVT-UG18	3	True	2
master_MULTI_merged_oriented.jsonl	POP-RT-MULTI	["RVT-DGRs/RVT-UG19"]	RVT-DGRs/RVT-UG19	2	True	1
