source_id	evidence_tier	region_id	region_name	series	rt0_rt7_scope	n_literal_raw	n_literal_layout	n_range_expanded_raw	n_range_expanded_layout	n_named_total_raw	routes_agree	pages_with_hit	unit	frame	stratum	denominator
zimmerly2001	TIER1	rt4_spelling	RT4 (modern spelling)	modern_spelling	RT1_RT7	0	0	0	0	0	YES	NONE	(source, region_name) pair	extracted-text naming census v1 (poppler pdftotext; routes raw|layout)	TIER1	32 region names x 6 sources in scope
zimmerly2001	TIER1	rt5_spelling	RT5 (modern spelling)	modern_spelling	RT1_RT7	0	0	0	0	0	YES	NONE	(source, region_name) pair	extracted-text naming census v1 (poppler pdftotext; routes raw|layout)	TIER1	32 region names x 6 sources in scope
zimmerly2001	TIER1	rt6_spelling	RT6 (modern spelling)	modern_spelling	RT1_RT7	0	0	0	0	0	YES	NONE	(source, region_name) pair	extracted-text naming census v1 (poppler pdftotext; routes raw|layout)	TIER1	32 region names x 6 sources in scope
zimmerly2001	TIER1	rt7_spelling	RT7 (modern spelling)	modern_spelling	RT1_RT7	0	0	0	0	0	YES	NONE	(source, region_name) pair	extracted-text naming census v1 (poppler pdftotext; routes raw|layout)	TIER1	32 region names x 6 sources in scope
simon2008	TIER1	domain_0	domain/subdomain 0	numbered_rt_series	RT0_SEPARATE	2	2	1	1	3	YES	1,7	(source, region_name) pair	extracted-text naming census v1 (poppler pdftotext; routes raw|layout)	TIER1	32 region names x 6 sources in scope
simon2008	TIER1	domain_1	domain/subdomain 1	numbered_rt_series	RT1_RT7	6	6	7	7	13	YES	1,6,8	(source, region_name) pair	extracted-text naming census v1 (poppler pdftotext; routes raw|layout)	TIER1	32 region names x 6 sources in scope
simon2008	TIER1	domain_2	domain/subdomain 2	numbered_rt_series	RT1_RT7	1	1	8	8	9	YES	5	(source, region_name) pair	extracted-text naming census v1 (poppler pdftotext; routes raw|layout)	TIER1	32 region names x 6 sources in scope
simon2008	TIER1	domain_3	domain/subdomain 3	numbered_rt_series	RT1_RT7	1	1	8	8	9	YES	8	(source, region_name) pair	extracted-text naming census v1 (poppler pdftotext; routes raw|layout)	TIER1	32 region names x 6 sources in scope
simon2008	TIER1	domain_4	domain/subdomain 4	numbered_rt_series	RT1_RT7	0	0	7	7	7	YES	NONE	(source, region_name) pair	extracted-text naming census v1 (poppler pdftotext; routes raw|layout)	TIER1	32 region names x 6 sources in scope
simon2008	TIER1	domain_5	domain/subdomain 5	numbered_rt_series	RT1_RT7	2	1	7	7	9	NO	3,4	(source, region_name) pair	extracted-text naming census v1 (poppler pdftotext; routes raw|layout)	TIER1	32 region names x 6 sources in scope
simon2008	TIER1	domain_6	domain/subdomain 6	numbered_rt_series	RT1_RT7	0	0	6	6	6	YES	NONE	(source, region_name) pair	extracted-text naming census v1 (poppler pdftotext; routes raw|layout)	TIER1	32 region names x 6 sources in scope
simon2008	TIER1	domain_7	domain/subdomain 7	numbered_rt_series	RT1_RT7	1	1	6	6	7	YES	5	(source, region_name) pair	extracted-text naming census v1 (poppler pdftotext; routes raw|layout)	TIER1	32 region names x 6 sources in scope
simon2008	TIER1	rt_domain_whole	RT domain (whole)	whole_domain	CONTAINER	3	2	0	0	3	NO	1,5,8	(source, region_name) pair	extracted-text naming census v1 (poppler pdftotext; routes raw|layout)	TIER1	32 region names x 6 sources in scope
simon2008	TIER1	domain_2a	domain/subdomain 2a	numbered_rt_series_insertion	OUTSIDE_RT1_RT7	1	1	0	0	1	YES	8	(source, region_name) pair	extracted-text naming census v1 (poppler pdftotext; routes raw|layout)	TIER1	32 region names x 6 sources in scope
simon2008	TIER1	domain_X	domain X	adjacent_domain	OUTSIDE_RT1_RT7	4	4	0	0	4	YES	1,2,3,4	(source, region_name) pair	extracted-text naming census v1 (poppler pdftotext; routes raw|layout)	TIER1	32 region names x 6 sources in scope
simon2008	TIER1	spacer_4_5	4/5 spacer	spacer	OUTSIDE_RT1_RT7	0	0	0	0	0	YES	NONE	(source, region_name) pair	extracted-text naming census v1 (poppler pdftotext; routes raw|layout)	TIER1	32 region names x 6 sources in scope
simon2008	TIER1	spacer_7_X	7/X spacer	spacer	OUTSIDE_RT1_RT7	0	0	0	0	0	YES	NONE	(source, region_name) pair	extracted-text naming census v1 (poppler pdftotext; routes raw|layout)	TIER1	32 region names x 6 sources in scope
simon2008	TIER1	motif_A	motif A	poch_motif_series	PREDECESSOR_PARTITION	0	0	0	0	0	YES	NONE	(source, region_name) pair	extracted-text naming census v1 (poppler pdftotext; routes raw|layout)	TIER1	32 region names x 6 sources in scope
simon2008	TIER1	motif_B	motif B	poch_motif_series	PREDECESSOR_PARTITION	0	0	0	0	0	YES	NONE	(source, region_name) pair	extracted-text naming census v1 (poppler pdftotext; routes raw|layout)	TIER1	32 region names x 6 sources in scope
