gid	fasta_key	span
PM_RVT-UG2_6	W500_real	260
PM_RVT-UG2_6	W500_ctrl	260
PM_RVT-UG2_7	W500_real	260
PM_RVT-UG2_7	W500_ctrl	260
PM_RVT-UG2_8	W500_real	260
PM_RVT-UG2_8	W500_ctrl	260
PM_RVT-UG3_1	W500_real	260
PM_RVT-UG3_1	W500_ctrl	260
PM_RVT-UG3_2	W500_real	260
PM_RVT-UG3_2	W500_ctrl	260
PM_RVT-UG3_3	W500_real	260
PM_RVT-UG3_3	W500_ctrl	260
PM_RVT-UG3_4	W500_real	260
PM_RVT-UG3_4	W500_ctrl	260
PM_RVT-UG3_5	W500_real	260
PM_RVT-UG3_5	W500_ctrl	260
PM_RVT-UG3_6	W500_real	260
PM_RVT-UG3_6	W500_ctrl	260
PM_RVT-UG3_7	W500_real	260
PM_RVT-UG3_7	W500_ctrl	260
PM_RVT-UG3_8	W500_real	260
PM_RVT-UG3_8	W500_ctrl	260
PM_RVT-UG5_1	W500_real	260
PM_RVT-UG5_1	W500_ctrl	260
PM_RVT-UG5_2	W500_real	260
PM_RVT-UG5_2	W500_ctrl	260
PM_RVT-UG5_3	W500_real	260
PM_RVT-UG5_3	W500_ctrl	260
PM_RVT-UG5_4	W500_real	260
PM_RVT-UG5_4	W500_ctrl	260
PM_RVT-UG5_5	W500_real	260
PM_RVT-UG5_5	W500_ctrl	260
PM_RVT-UG5_6	W500_real	260
PM_RVT-UG5_6	W500_ctrl	260
PM_RVT-UG5_7	W500_real	260
PM_RVT-UG5_7	W500_ctrl	260
PM_RVT-UG5_8	W500_real	260
PM_RVT-UG5_8	W500_ctrl	260
PM_RVT-UG8_1	W500_real	260
PM_RVT-UG8_1	W500_ctrl	260
PM_RVT-UG8_2	W500_real	260
PM_RVT-UG8_2	W500_ctrl	260
PM_RVT-UG8_3	W500_real	260
PM_RVT-UG8_3	W500_ctrl	260
PM_RVT-UG8_4	W500_real	260
PM_RVT-UG8_4	W500_ctrl	260
PM_RVT-UG8_5	W500_real	260
PM_RVT-UG8_5	W500_ctrl	260
PM_RVT-UG8_6	W500_real	260
PM_RVT-UG8_6	W500_ctrl	260
PM_RVT-UG8_7	W500_real	260
PM_RVT-UG8_7	W500_ctrl	260
PM_RVT-UG8_8	W500_real	260
PM_RVT-UG8_8	W500_ctrl	260
