detection_model	file_label	n_placements	n_loci	n_exact_ncrna	median_signed_distance_bp	unit	denominator
TypeXIIIC_Mx162	RVT-GII	21	20	9	-3971.0	placements	CANONICAL placements of that model and family
TypeIIA3_firmi	RVT-GII	12	11	5	-5885.0	placements	CANONICAL placements of that model and family
TypeIIIA2	RVT-DGRs	11	7	3	2665.0	placements	CANONICAL placements of that model and family
TypeIX	RVT-UG14	10	7	1	-15.0	placements	CANONICAL placements of that model and family
TypeIA_IIAI	RVT-GII	10	6	4	6261.0	placements	CANONICAL placements of that model and family
TypeIA_IIAI	RVT-UG2	9	9	1	7704.0	placements	CANONICAL placements of that model and family
TypeIIA2	RVT-DGRs	9	6	5	-308.0	placements	CANONICAL placements of that model and family
TypeXIIIB_Ne144	RVT-GII	8	8	2	-2401.0	placements	CANONICAL placements of that model and family
TypeIIIA3	RVT-DGRs	8	8	3	-3463.0	placements	CANONICAL placements of that model and family
TypeIIIA1	RVT-DGRs	7	4	2	4404.0	placements	CANONICAL placements of that model and family
OutgroupB	RVT-GII	7	7	5	-432.0	placements	CANONICAL placements of that model and family
TypeIV	RVT-AbiP2	7	7	1	-348.0	placements	CANONICAL placements of that model and family
TypeIIA2	RVT-GII	7	7	4	-3407.0	placements	CANONICAL placements of that model and family
TypeIB1	RVT-GII	7	6	3	-76.0	placements	CANONICAL placements of that model and family
Ec107_like	RVT-GII	6	5	3	8627.0	placements	CANONICAL placements of that model and family
TypeIIIA2	RVT-UG10	6	6	1	100.0	placements	CANONICAL placements of that model and family
TypeIIIA2	RVT-UG26	6	5	1	4451.0	placements	CANONICAL placements of that model and family
TypeIX	RVT-DGRs	6	4	2	4274.0	placements	CANONICAL placements of that model and family
TypeIA_IIAI	RVT-DGRs	5	3	3	-733.0	placements	CANONICAL placements of that model and family
TypeIIIA2	RVT-GII	5	4	3	-2408.0	placements	CANONICAL placements of that model and family
TypeIX	RVT-GII	4	3	3	3162.5	placements	CANONICAL placements of that model and family
TypeIX	RVT-UG12	4	3	2	-362.0	placements	CANONICAL placements of that model and family
TypeIIIA1	RVT-GII	4	3	2	2612.5	placements	CANONICAL placements of that model and family
TypeIX	RVT-UG23	3	3	1	-2567.0	placements	CANONICAL placements of that model and family
TypeIIIA3	RVT-GII	3	3	2	-6171.0	placements	CANONICAL placements of that model and family
TypeIV	RVT-UG10	3	3	1	-674.0	placements	CANONICAL placements of that model and family
TypeIX	RVT-UG26	2	1	1	2478.0	placements	CANONICAL placements of that model and family
TypeXIIIC_Mx162	RVT-UG8	2	2	1	8495.0	placements	CANONICAL placements of that model and family
TypeXIIIC_Mx162	RVT-UG26	2	1	1	1091.0	placements	CANONICAL placements of that model and family
TypeIA_IIAI	RVT-UG5	2	2	1	2271.0	placements	CANONICAL placements of that model and family
TypeIB1	RVT-UG7	2	1	1	-566.0	placements	CANONICAL placements of that model and family
TypeIC1_IC2	RVT-G2L4	2	1	1	142.0	placements	CANONICAL placements of that model and family
TypeIC1_IC2	RVT-GII	2	1	1	-558.0	placements	CANONICAL placements of that model and family
TypeIC1_IC2	RVT-UG15	2	2	1	2202.0	placements	CANONICAL placements of that model and family
TypeIIA2	MULTI	2	2	2	457.0	placements	CANONICAL placements of that model and family
Ec107_like	MULTI	2	2	1	8627.0	placements	CANONICAL placements of that model and family
TypeIIIA2	RVT-UG3	2	2	1	-243.0	placements	CANONICAL placements of that model and family
TypeIIA3_firmi	RVT-UG2	2	2	1	-7519.0	placements	CANONICAL placements of that model and family
TypeIIA3_proteo	RVT-DGRs	2	1	1	486.0	placements	CANONICAL placements of that model and family
TypeIX	RVT-CRISPR-like	2	2	1	-8973.0	placements	CANONICAL placements of that model and family
TypeIIIA2	RVT-AbiP2	2	1	1	2312.0	placements	CANONICAL placements of that model and family
TypeIIA2	RVT-UG8	1	1	1	3317.0	placements	CANONICAL placements of that model and family
TypeIIA3_firmi	RVT-DGRs	1	1	1	39.0	placements	CANONICAL placements of that model and family
TypeXIIIC_Mx162	RVT-G2L4	1	1	1	1550.0	placements	CANONICAL placements of that model and family
TypeIIA3_proteo	RVT-GII	1	1	1	166.0	placements	CANONICAL placements of that model and family
TypeIIIA2	MULTI	1	1	1	-5962.0	placements	CANONICAL placements of that model and family
OutgroupA	RVT-DGRs	1	1	1	-7760.0	placements	CANONICAL placements of that model and family
TypeIIIA3	MULTI	1	1	1	-7375.0	placements	CANONICAL placements of that model and family
