component_id	n_pairs	n_tok	n_distinct_rt	n_distinct_ncrna	n_retron_types	n_rt_homolog_groups	cv_fold	dominant_retron_type	any_T4	any_T3	in_sensitivity_population	mean_nearest_train_rt_cosine	relatedness_stratum	nll_per_nt_U	nll_per_nt_T	nll_per_nt_G	nll_per_nt_R	nll_per_nt_P	delta_R_minus_T	delta_R_minus_G	delta_R_minus_P	delta_P_minus_T	delta_logP_C1	n_pairs_C1	delta_logP_C2	n_pairs_C2	delta_logP_C3	n_pairs_C3	delta_logP_C4	n_pairs_C4
CMP00033	101	25430	100	88	1	10	1	TypeIIIA3	1	1	0	0.989338	Q3	1.409174	1.39513	1.382903	1.384101	1.402478	-0.011029	0.001198	-0.018377	0.007348	0.006499	101	0.007224	94	0.000136	101	0.003295	97
CMP00034	99	24034	93	64	1	8	2	TypeIIIA3	1	1	0	0.989507	Q4	1.42184	1.391683	1.391708	1.40019	1.39667	0.008507	0.008482	0.00352	0.004987	0.000784	99	0.001398	91	-0.000906	99	0.000153	91
CMP00035	90	24410	82	62	1	8	3	TypeIIIA3	1	1	1	0.99069	Q4	1.442087	1.418464	1.399462	1.398085	1.403451	-0.020379	-0.001377	-0.005366	-0.015013	0.009028	90	0.008035	81	-0.000429	90	0.00353	83
CMP00036	84	10919	81	8	1	12	1	TypeIIIA2	0	0	0	0.978676	Q1	1.426654	1.392842	1.424448	1.500587	1.377698	0.107745	0.076139	0.122889	-0.015144	-0.083991	84	-0.088401	73	-0.029473	84	0.001256	49
CMP00037	75	12568	72	13	1	7	2	TypeIB2	1	1	0	0.99381	Q4	1.437402	1.352155	1.364427	1.357371	1.367035	0.005216	-0.007056	-0.009664	0.01488	0.000477	75	-0.003287	74	0.000964	75	0.000657	71
CMP00038	62	10911	60	14	1	4	4	TypeIB2	1	1	0	0.994364	Q4	1.424956	1.490491	1.389952	1.363401	2.603512	-0.12709	-0.026551	-1.240111	1.113021	0.015386	62	0.003598	61	0.002245	62	0.006088	55
CMP00039	61	9638	60	15	1	6	4	TypeIB2	1	1	0	0.992395	Q4	1.406389	1.341295	1.371231	1.38708	1.335123	0.045785	0.015849	0.051957	-0.006172	-0.001216	61	0.009712	44	-0.004275	61	0.008971	59
CMP00040	61	8919	58	48	1	6	2	TypeIB1	1	1	0	0.994337	Q4	1.452999	1.340061	1.398331	1.400499	1.396586	0.060438	0.002168	0.003913	0.056525	0.015521	61	0.019135	54	-0.000857	61	0.000367	54
CMP00041	57	8133	56	30	1	9	1	TypeIC1_IC2	1	1	1	0.9911	Q4	1.370062	1.465981	1.357878	1.382269	1.538347	-0.083712	0.024391	-0.156078	0.072366	-0.005396	57	-0.005074	47	-0.00285	57	-0.003846	51
CMP00042	54	8294	48	18	1	5	3	TypeIA_IIAI	0	0	0	0.986994	Q3	1.471605	1.447839	1.411306	1.408945	1.420317	-0.038894	-0.002361	-0.011372	-0.027522	0.003609	54	0.001945	54	-0.00023	54	0.000374	48
