cohort	set_id	arm	expected_cov	observed_cov	avgid	n
CTRL_DISTAL	CTRL_DISTAL__POS_XIII_3	B_STRUCT_CACOFOLD	1.1	0	46.58	6
CTRL_DISTAL	CTRL_DISTAL__POS_S5_2	A_SPIRE	2.7	4	24.65	5
CTRL_DISTAL	CTRL_DISTAL__POS_S5_2	B_SEQ_CACOFOLD	2.8	0	34.8	5
CTRL_DISTAL	CTRL_DISTAL__POS_S5_2	B_STRUCT_CACOFOLD	1.4	4	24.65	5
CTRL_GII_HARD	CTRL_GII_HARD_1	A_SPIRE	7.0	2	42.16	10
CTRL_GII_HARD	CTRL_GII_HARD_1	B_SEQ_CACOFOLD	5.7	0	47.31	10
CTRL_GII_HARD	CTRL_GII_HARD_1	B_STRUCT_CACOFOLD	7.4	2	42.16	10
CTRL_GII_HARD	CTRL_GII_HARD_2	A_SPIRE	2.0	1	43.19	7
CTRL_GII_HARD	CTRL_GII_HARD_2	B_SEQ_CACOFOLD	2.1	0	50.89	7
CTRL_GII_HARD	CTRL_GII_HARD_2	B_STRUCT_CACOFOLD	1.5	1	43.19	7
CTRL_GII_HARD	CTRL_GII_HARD_3	A_SPIRE	3.6	3	35.8	6
CTRL_GII_HARD	CTRL_GII_HARD_3	B_SEQ_CACOFOLD	2.7	5	45.85	6
CTRL_GII_HARD	CTRL_GII_HARD_3	B_STRUCT_CACOFOLD	3.0	3	35.8	6
CTRL_INTRAGENIC	CTRL_INTRAGENIC__POS_I-A_1	A_SPIRE	1.2	0	49.76	5
CTRL_INTRAGENIC	CTRL_INTRAGENIC__POS_I-A_1	B_SEQ_CACOFOLD	1.8	0	61.41	5
CTRL_INTRAGENIC	CTRL_INTRAGENIC__POS_I-A_1	B_STRUCT_CACOFOLD	0.6	1	49.76	5
CTRL_INTRAGENIC	CTRL_INTRAGENIC__POS_I-A_2	A_SPIRE	6.9	3	37.83	15
CTRL_INTRAGENIC	CTRL_INTRAGENIC__POS_I-A_2	B_SEQ_CACOFOLD	16.1	0	55.26	15
CTRL_INTRAGENIC	CTRL_INTRAGENIC__POS_I-A_2	B_STRUCT_CACOFOLD	11.9	4	37.83	15
CTRL_INTRAGENIC	CTRL_INTRAGENIC__POS_I-A_3	A_SPIRE	0.7	0	50.98	5
CTRL_INTRAGENIC	CTRL_INTRAGENIC__POS_I-A_3	B_SEQ_CACOFOLD	0.9	0	57.91	5
CTRL_INTRAGENIC	CTRL_INTRAGENIC__POS_I-A_3	B_STRUCT_CACOFOLD	0.4	0	50.98	5
CTRL_INTRAGENIC	CTRL_INTRAGENIC__POS_I-B_2	A_SPIRE	4.3	1	36.7	17
CTRL_INTRAGENIC	CTRL_INTRAGENIC__POS_I-B_2	B_SEQ_CACOFOLD	24.2	0	57.89	17
CTRL_INTRAGENIC	CTRL_INTRAGENIC__POS_I-B_2	B_STRUCT_CACOFOLD	12.0	4	36.7	17
CTRL_INTRAGENIC	CTRL_INTRAGENIC__POS_I-B_3	A_SPIRE	8.0	1	32.3	18
CTRL_INTRAGENIC	CTRL_INTRAGENIC__POS_I-B_3	B_SEQ_CACOFOLD	12.5	0	60.2	18
